mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=ngalert.state.manager t=2025-04-08T17:56:43.695946654Z level=info msg="State cache has been initialized" states=0 duration=37.746748ms
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=ngalert.scheduler t=2025-04-08T17:56:43.696027985Z level=info msg="Starting scheduler" tickInterval=10s maxAttempts=3
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=ticker t=2025-04-08T17:56:43.696096747Z level=info msg=starting first_tick=2025-04-08T17:56:50Z
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=provisioning.alerting t=2025-04-08T17:56:43.773841678Z level=info msg="starting to provision alerting"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=provisioning.alerting t=2025-04-08T17:56:43.773920741Z level=info msg="finished to provision alerting"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=provisioning.dashboard t=2025-04-08T17:56:43.776890755Z level=info msg="starting to provision dashboards"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=provisioning.dashboard t=2025-04-08T17:56:43.776947697Z level=info msg="finished to provision dashboards"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=plugins.update.checker t=2025-04-08T17:56:44.001011074Z level=info msg="Update check succeeded" duration=350.366723ms
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=grafana.update.checker t=2025-04-08T17:56:44.006913699Z level=info msg="Update check succeeded" duration=355.586168ms
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=sqlstore.transactions t=2025-04-08T17:56:44.024535676Z level=info msg="Database locked, sleeping then retrying" error="database is locked" retry=0 code="database is locked"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=sqlstore.transactions t=2025-04-08T17:56:44.035815446Z level=info msg="Database locked, sleeping then retrying" error="database is locked" retry=1 code="database is locked"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=plugin.angulardetectorsprovider.dynamic t=2025-04-08T17:56:44.038226123Z level=info msg="Patterns update finished" duration=295.209705ms
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=grafana-apiserver t=2025-04-08T17:56:44.083558656Z level=info msg="Adding GroupVersion userstorage.grafana.app v0alpha1 to ResourceManager"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=grafana-apiserver t=2025-04-08T17:56:44.084695143Z level=info msg="Adding GroupVersion playlist.grafana.app v0alpha1 to ResourceManager"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=grafana-apiserver t=2025-04-08T17:56:44.087049481Z level=info msg="Adding GroupVersion dashboard.grafana.app v0alpha1 to ResourceManager"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=grafana-apiserver t=2025-04-08T17:56:44.08785272Z level=info msg="Adding GroupVersion dashboard.grafana.app v1alpha1 to ResourceManager"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=grafana-apiserver t=2025-04-08T17:56:44.088586784Z level=info msg="Adding GroupVersion dashboard.grafana.app v2alpha1 to ResourceManager"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=grafana-apiserver t=2025-04-08T17:56:44.0892797Z level=info msg="Adding GroupVersion featuretoggle.grafana.app v0alpha1 to ResourceManager"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=grafana-apiserver t=2025-04-08T17:56:44.091270712Z level=info msg="Adding GroupVersion iam.grafana.app v0alpha1 to ResourceManager"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=grafana-apiserver t=2025-04-08T17:56:44.093354225Z level=info msg="Adding GroupVersion notifications.alerting.grafana.app v0alpha1 to ResourceManager"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=app-registry t=2025-04-08T17:56:44.146228081Z level=info msg="app registry initialized"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=plugin.installer t=2025-04-08T17:56:45.495569587Z level=info msg="Installing plugin" pluginId=grafana-pyroscope-app version=
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=installer.fs t=2025-04-08T17:56:45.589852422Z level=info msg="Downloaded and extracted grafana-pyroscope-app v1.2.3 zip successfully to /var/lib/grafana/plugins/grafana-pyroscope-app"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=plugins.registration t=2025-04-08T17:56:45.704740098Z level=info msg="Plugin registered" pluginId=grafana-pyroscope-app
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=plugin.backgroundinstaller t=2025-04-08T17:56:45.704838123Z level=info msg="Plugin successfully installed" pluginId=grafana-pyroscope-app version= duration=2.043926193s
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=plugin.backgroundinstaller t=2025-04-08T17:56:45.704878566Z level=info msg="Installing plugin" pluginId=grafana-lokiexplore-app version=
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=plugin.installer t=2025-04-08T17:56:48.224212593Z level=info msg="Installing plugin" pluginId=grafana-lokiexplore-app version=
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=installer.fs t=2025-04-08T17:56:48.469078416Z level=info msg="Downloaded and extracted grafana-lokiexplore-app v1.0.10 zip successfully to /var/lib/grafana/plugins/grafana-lokiexplore-app"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=plugins.registration t=2025-04-08T17:56:48.509764691Z level=info msg="Plugin registered" pluginId=grafana-lokiexplore-app
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=plugin.backgroundinstaller t=2025-04-08T17:56:48.50985502Z level=info msg="Plugin successfully installed" pluginId=grafana-lokiexplore-app version= duration=2.804959901s
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=infra.usagestats t=2025-04-08T17:58:10.72978549Z level=info msg="Usage stats are ready to report"
